"","protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_infected_1","abundance_control_2","abundance_infected_2","abundance_control_3","abundance_infected_3","log_ratios_infected..vs.control.","differential_abundance_qvalue_infected..vs.control."
"444","sp|P68037|UB2L3_MOUSE",3,3,3,5,5,5,24.5140018537429,22.8388157550741,23.485301249801,23.0601805358144,23.2206747174915,24.1077451499719,-0.404412126725,1
"445","sp|P56391|CX6B1_MOUSE",4,2,3,3,4,4,23.4410409598843,22.9876544381379,22.7949587707427,22.5909040591893,22.5866833642803,23.6861991420271,0.147358181482332,1
"446","sp|Q9Z2D6|MECP2_MOUSE",2,4,1,1,1,3,21.7770619321908,20.9146980816842,21.9327583020356,20.7400100497748,21.3299597132899,21.5726276066509,-0.604148069802134,1
"447","sp|P10639|THIO_MOUSE",3,2,1,3,1,3,24.8096812973746,24.0127530782663,24.1004679310036,23.5604718496335,23.1584542159472,24.5817751248573,0.0287988694772352,1
"448","sp|Q91VM5|RMXL1_MOUSE",4,2,2,3,2,5,24.2706828595336,23.2202745473533,23.7002347002547,23.3167013727003,22.7880137197139,23.9092344422681,-0.104240305726833,1
"449","sp|Q8C2Q3|RBM14_MOUSE",3,3,NA,5,2,4,23.565204834732,21.7513000992291,23.2081118351972,21.6894530141441,21.202077029775,22.3475444618956,-0.729032041478469,1
"450","sp|P16330|CN37_MOUSE",3,1,2,5,3,3,21.9787221531974,22.0628903631257,21.454414143549,21.7256463635204,21.569932770357,23.1637060240488,0.649724561197168,1
"451","sp|Q3U1J4|DDB1_MOUSE",5,5,1,4,1,3,22.864809670653,21.9256598305294,22.3269473009172,21.6362160356212,21.3593596258409,22.3519159524656,-0.212441592931633,1
"452","sp|P27005|S10A8_MOUSE",3,4,3,2,3,4,25.8126580514028,25.2624706799009,25.584052310786,25.681446897502,25.5027807057058,25.8284086641056,-0.0423882754620332,1
"453","sp|P62852|RS25_MOUSE",4,3,2,4,1,5,24.6673806645323,24.0097830090501,24.07705577185,23.5486627185966,23.2546287355387,24.4208960865001,-0.00657445259139896,1
"454","sp|Q6P069|SORCN_MOUSE",2,4,2,3,NA,4,23.2345620852189,22.5824868086285,22.887033893063,22.4224018007636,22.1822597637462,23.2089213670474,-0.0300152551962007,1
"455","sp|Q9CPV4|GLOD4_MOUSE",4,3,2,2,2,2,22.608529848133,21.7948315892253,22.139004807556,21.5966452045166,21.2963468861238,22.3528583959629,-0.0998487840359985,1
"456","sp|Q61792|LASP1_MOUSE",4,4,2,3,2,2,22.9931435530744,21.6213171320572,22.551147556606,21.2270691489877,21.3354324733225,22.1539768602188,-0.625786813913066,0.545696248215313
