"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"sp|P61358|RL27_MOUSE",4,4,4,4,4,4,0.314970645155286,0.636067137542118,27.0001423762703,26.8802045126262,26.9097839806298,26.8127119207351,26.8183885115712,26.648613352161
"sp|P61514|RL37A_MOUSE",1,1,1,2,1,2,0.370777414719293,0.688504923693522,23.5792009100924,23.8051261565179,21.4602337165952,24.0478223250065,22.6703469659365,24.2253384672818
"sp|P61620|S61A1_MOUSE;sp|Q9JLR1|S61A2_MOUSE",3,2,3,3,3,3,0.100993647814045,0.426623181733441,23.5464270865569,23.6585090919964,23.4523221940897,23.858871427628,23.8028895734175,23.8906575453396
"sp|P61804|DAD1_MOUSE",2,2,2,2,2,2,0.405370996755117,0.716442924761526,23.518492094933,23.8036253032841,23.5646248856116,23.793002143434,23.7018505826726,23.8348511276767
"sp|P61924|COPZ1_MOUSE",0,1,0,2,2,2,NA,NA,NA,NA,NA,22.3421508839943,23.7136282428701,23.4427692864968
"sp|P61957|SUMO2_MOUSE;sp|Q9Z172|SUMO3_MOUSE",2,2,2,2,2,2,0.110840465160843,0.442551354602562,26.9164660626778,26.6245382850329,26.3793224747383,26.0879183823526,26.2159315580644,26.451191565328
"sp|P61965|WDR5_MOUSE",2,2,2,2,2,2,0.536799153449741,0.792899577347071,22.2345854581163,23.3272362248422,22.7731261486946,22.5685265982527,23.263622007254,23.1652324826005
"sp|P61971|NTF2_MOUSE",3,3,3,2,2,2,0.0364972976703191,0.280713783316158,25.4746622241967,24.4800421154752,24.2022967354796,23.9528012070265,23.8994008760955,23.2016508765567
"sp|P61979|HNRPK_MOUSE",20,20,20,19,19,19,0.09048873064027,0.417588734732505,30.1211754747769,30.2069084605803,30.3096782910207,29.7741406749732,30.0813028842347,29.7217601724516
"sp|P61982|1433G_MOUSE",9,8,8,8,7,9,0.970865119226959,0.993999949512564,26.9845848498715,26.6058225568713,26.5781108313268,26.7907189841501,26.4807938202553,26.9206897364515
"sp|P62082|RS7_MOUSE",11,10,10,8,10,11,0.623069151407631,0.831203600271851,28.7904827007002,28.1190158848026,29.1086450194149,28.0993441386952,28.746073083018,29.9724621428285
"sp|P62137|PP1A_MOUSE",8,11,10,10,10,11,0.682902139128128,0.859759413756519,23.563615706082,24.3596431944112,23.9108257041102,23.8590814880595,23.9215452154819,24.4021139682191
"sp|P62141|PP1B_MOUSE",2,2,2,2,2,2,0.409199362516165,0.717355743103381,22.9885792355859,22.2376827102205,23.1138810630835,22.6967610477956,22.2470940301546,22.6392523658941
"sp|P62192|PRS4_MOUSE",5,5,5,5,4,4,0.401405495204247,0.713482520719675,23.9324972542458,23.9102388080756,24.4517118146018,24.6383334827888,23.9477029537329,24.409105268278
"sp|P62196|PRS8_MOUSE",3,3,4,4,4,3,0.0181896309162255,0.214673466726595,23.4900932078543,23.5087068364305,23.8304663253502,24.4647245300718,24.3259788136098,23.9851390948226
"sp|P62242|RS8_MOUSE",9,9,9,8,8,9,0.819084708981517,0.934596655119936,28.0756183864306,27.981267216416,27.7311260887107,27.8270108385653,28.0596987482723,28.0284005404223
"sp|P62245|RS15A_MOUSE",3,3,3,3,3,3,0.578516942079501,0.817269965794851,26.1033685955324,26.020072696588,25.879195113475,25.8676416372557,25.9619027289065,25.8969390481055
"sp|P62259|1433E_MOUSE",9,9,8,8,8,8,0.974571508218552,0.995213761306354,28.1607306240245,27.6644255785849,27.6392592286713,27.9633790691795,27.6598430131341,27.8201784054495
"sp|P62264|RS14_MOUSE",7,7,7,7,6,7,0.553717354887728,0.800384946856275,26.6541493993545,26.6576266620592,26.4238398421383,26.5827531769029,26.451959904791,26.3907892057809
"sp|P62267|RS23_MOUSE",6,6,5,5,6,4,0.543769337545762,0.794298469615498,25.9694712404172,26.090287959063,26.1401343572668,26.1126195490536,26.4095703234821,26.0211209175791
"sp|P62270|RS18_MOUSE",8,8,8,8,8,8,0.611049446072709,0.828886274251349,27.2151031535162,27.2278894026579,26.7309743093822,26.9352006563043,27.0089239165089,26.9130464123866
"sp|P62281|RS11_MOUSE",7,6,7,6,6,5,0.695174533286765,0.868237531161709,27.3199749636383,26.7546331752884,27.0693187712712,27.152263982043,27.0417308691463,26.6694022589805
"sp|P62301|RS13_MOUSE",6,5,6,5,6,6,0.78055442586555,0.92172091682455,27.0444151811558,27.5835850877793,26.889120365678,27.1628316597214,26.7512219388301,27.9078155825314
"sp|P62305|RUXE_MOUSE",2,1,1,1,2,2,0.591991002525416,0.82320940273222,23.975920926328,23.7303753436267,23.2338804644518,22.8407972066902,24.1837124867797,24.7780940444079
"sp|P62307|RUXF_MOUSE",2,2,2,2,1,2,0.240948177130489,0.584088382693754,23.5760642564049,23.6063068723375,23.3813298548992,23.2021731733079,21.6290911074159,23.7063946994599
"sp|P62309|RUXG_MOUSE",2,2,2,1,2,2,0.20003167233658,0.531427427998675,23.3667374174906,23.2739028981332,24.3359275558627,22.6648902497921,23.3541337456611,23.4060926290031
"sp|P62313|LSM6_MOUSE",2,1,2,2,2,2,0.897243286514292,0.965882920566552,24.2416667736902,22.2036341510954,23.5812510419723,23.2467333739925,23.4193829162028,23.5640861206195
"sp|P62315|SMD1_MOUSE",4,4,2,3,3,3,0.0715083930898959,0.374367469705925,26.4105147610485,26.8798707228493,26.4808876327905,26.3042070780113,26.0476259159717,26.1450673481903
"sp|P62317|SMD2_MOUSE",5,5,5,5,4,5,0.743976177270607,0.89934210355843,25.9558180226946,25.752787209363,26.5321360453955,26.1027631645836,26.2447210691808,26.1380231354009
"sp|P62320|SMD3_MOUSE",3,3,3,3,3,3,0.850585207446735,0.94164993837088,26.4528677538783,26.6422273286216,26.652278950842,26.3582791068068,26.5241914817525,26.758430274713
"sp|P62334|PRS10_MOUSE",3,2,3,3,2,3,0.671366714850861,0.852313769027206,24.2522033136004,23.4994661640641,24.3110786735796,23.2534768605395,23.9094013560429,24.4086752762105
"sp|P62702|RS4X_MOUSE",12,11,10,11,11,10,0.542781554585582,0.794298469615498,27.6747457995819,27.1072302164908,27.443822087356,27.23582684351,27.2522884391318,27.3539159435174
"sp|P62717|RL18A_MOUSE",7,7,8,7,6,6,0.44440113705059,0.735734858829914,26.59053490415,26.4577759205019,26.5961982091429,26.8162323421031,26.620954319194,26.6003733225533
"sp|P62748|HPCL1_MOUSE",2,2,2,2,2,2,0.0730816191403759,0.375192954043034,22.5432013741722,22.4642529873399,22.4505745573103,21.0374465722422,21.1110922292394,22.5733578836092
"sp|P62751|RL23A_MOUSE",6,6,6,6,7,6,0.435983185037516,0.73509478830412,26.772634237612,26.7803747902265,26.3724719658777,26.3027020395141,26.6900217823933,26.4260354651871
"sp|P62754|RS6_MOUSE",5,4,4,5,4,5,0.869685377336357,0.951385408394294,26.8391296493989,26.606226164383,26.3936391400255,26.5824033516976,26.6750402314957,26.6740810049768
"sp|P62774|MTPN_MOUSE",2,2,2,2,3,3,0.0596296695191723,0.353802705813756,26.0979114507066,25.9642183990006,26.4853678158829,25.4423976962336,25.6223949734279,25.939845955071
"sp|P62806|H4_MOUSE",12,12,12,13,13,13,0.641350941447398,0.841679800596133,34.4125642329759,35.1015873808633,35.371563375361,34.6806250982667,34.9521663552915,34.845658741007
"sp|P62814|VATB2_MOUSE;sp|Q91YH6|VATB1_MOUSE",3,4,4,4,3,4,0.415045643685706,0.720146864239744,24.0214779870161,24.6467336255886,24.6265639224173,24.432339129814,23.454927766471,24.4999557831998
"sp|P62821|RAB1A_MOUSE",1,1,1,1,1,1,0.488156276059373,0.761902816619,23.4738641507649,23.3342699632427,24.0476496860714,24.0959392713342,24.221593031575,23.2658387682999
"sp|P62827|RAN_MOUSE;sp|Q61820|RANT_MOUSE",8,7,7,7,7,7,0.952928254935534,0.989050817927249,28.3120275735576,28.2307715621872,28.2678816013995,28.2874183391628,28.1871238189967,28.3083483895996
"sp|P62830|RL23_MOUSE",3,3,3,5,4,5,0.278994020814764,0.609871140237186,26.8905361182213,26.5341005225056,26.8207554644438,27.1497977444258,26.5620739761322,27.5385042928747
"sp|P62843|RS15_MOUSE",3,3,2,2,2,4,0.878555210592653,0.95808648556638,23.5534950106103,23.4836198954364,21.421804817877,21.264318676557,22.4177244552306,24.3393750127455
"sp|P62849|RS24_MOUSE",3,3,3,3,3,3,0.0210280262843314,0.218341006252308,25.3581614715295,24.1938854512265,24.6282413666174,25.5214328173707,25.9961389418653,25.6599789266854
"sp|P62852|RS25_MOUSE",3,3,3,4,4,4,0.610854222710179,0.828886274251349,26.7129178354363,26.5839949637348,26.5095609453276,26.8113556218283,26.645310965303,26.6096524771173
"sp|P62855|RS26_MOUSE",3,3,3,3,3,3,0.407202979831864,0.716631232867942,26.6347430828412,26.6600909235274,26.2847606335224,26.2156674739934,26.4433591734674,26.4279227290204
"sp|P62858|RS28_MOUSE",3,3,3,2,3,3,0.719140230645756,0.887680962031527,26.0905547935534,26.0569564707089,26.1688155690426,25.4348779690805,26.7294573060741,25.7648840413716
"sp|P62862|RS30_MOUSE",2,2,2,2,2,2,0.195416584507515,0.52630221501821,24.8287462154234,24.5904011972213,24.7033684681022,24.3839624723718,24.5364063123341,24.5034949315963
"sp|P62869|ELOB_MOUSE",2,2,2,2,2,2,0.789683306039732,0.92172091682455,23.9459243439535,23.6547680381482,23.9470441201618,23.8033001090842,23.93667919743,23.9496497645543
"sp|P62874|GBB1_MOUSE;sp|Q61011|GBB3_MOUSE",2,2,2,2,2,2,0.137433769247999,0.471486406127589,23.4438395952491,23.3718479485452,23.6800347149814,23.2157043842038,21.9221432345751,23.3375690099548
"sp|P62880|GBB2_MOUSE;sp|P29387|GBB4_MOUSE",6,7,6,6,7,7,0.879655649669293,0.95808648556638,24.9444208200435,25.0243676652545,25.0091153064408,24.965441465852,25.0409679776812,25.0421268167702
"sp|P62889|RL30_MOUSE",5,5,5,4,5,4,0.187593269794802,0.518893853690654,27.4177373517834,27.112732709672,27.238424110504,27.5648352437047,27.7069066958382,27.3207173374663
"sp|P62897|CYC_MOUSE;CON__P62894",4,4,4,3,4,4,0.344581612481627,0.665656882406367,25.1070047896479,25.0546121141459,25.6745703125519,25.5306272553447,25.5107923736609,25.4573722221439
"sp|P62900|RL31_MOUSE",5,4,3,4,5,3,0.91234043963038,0.971603579298678,26.7022629365359,26.6351249774913,26.515036458435,26.5584625134885,26.7090364414076,26.5301827137077
"sp|P62908|RS3_MOUSE",16,16,15,15,15,16,0.498976731310337,0.764729406165658,28.6974994115272,28.4257704954485,28.2073710177951,28.3322720772164,28.3317390614117,28.2668408047049
"sp|P62911|RL32_MOUSE;sp|P17932|RL32P_MOUSE",3,3,3,3,3,3,0.809729188222468,0.929231453374433,25.1645756211769,25.0457122988386,24.7598907873705,25.2340260163726,24.6980145731469,25.206331647824
"sp|P62918|RL8_MOUSE",5,5,5,4,6,5,0.198165455708107,0.529184037640017,26.9424991480432,26.8283303061619,26.4991584352242,26.2973832529657,26.6022965223468,26.5290841870112
"sp|P62960|YBOX1_MOUSE;sp|Q9JKB3|YBOX3_MOUSE",5,5,5,5,5,4,0.174245804667755,0.505322342380737,24.7139132962748,24.8090584836794,24.5953647149601,24.5509891988336,24.5674024957294,24.0815053201457
"sp|P62962|PROF1_MOUSE;CON__P02584",9,9,9,9,9,9,0.880537063310841,0.958208891602889,32.0026422150206,31.875098830364,31.3008675787353,31.4718868094713,32.1421050085281,31.693693946726
"sp|P62983|RS27A_MOUSE;sp|P0CG49|UBB_MOUSE;sp|P0CG50|UBC_MOUSE",7,7,7,7,7,7,0.739521231180254,0.89934210355843,24.1683076300591,24.1165153417312,23.4453400541114,23.5299677376002,23.8845358094795,24.0394135922656
"sp|P62984|RL40_MOUSE",0,0,0,1,0,0,NA,NA,NA,NA,NA,21.3380273904324,NA,NA
"sp|P62996|TRA2B_MOUSE",4,4,3,5,3,5,0.626226308313984,0.833630320682932,25.654168969149,25.6230499292344,25.8589786487127,25.667621178223,25.5345796049815,25.6845184990949
"sp|P63001|RAC1_MOUSE;sp|P60764|RAC3_MOUSE",3,3,3,3,3,3,0.338670065358214,0.660380127443402,24.8889238247125,24.5123865962215,24.5264753300638,24.4546819662531,24.3189866604026,24.5763473613545
"sp|P63005|LIS1_MOUSE",4,3,3,3,3,4,0.902362638372961,0.967593672472211,23.4200064379298,23.851984199471,24.1052614005804,23.9105583551746,23.6513883578658,23.9021754496282
"sp|P63017|HSP7C_MOUSE;sp|P17156|HSP72_MOUSE;sp|Q61696|HS71A_MOUSE;sp|P16627|HS71L_MOUSE;sp|P17879|HS71B_MOUSE",31,31,31,30,30,31,0.9111459248337,0.971161524673045,30.7327903676901,30.6968901218009,30.494404821215,30.6618870184873,30.6487662767127,30.5575930037091
"sp|P63028|TCTP_MOUSE",3,3,3,4,4,4,0.9162426990248,0.972538870869922,26.8591317851528,26.7313870772275,26.1962467707674,26.9208080034553,25.9352952863169,26.8218838780872
"sp|P63038|CH60_MOUSE",18,18,18,18,18,15,0.226469171880919,0.562112725425547,28.0516760534325,27.8257909590866,28.1132689791817,28.4425203572479,28.3466452682419,27.9891949935896
"sp|P63085|MK01_MOUSE;sp|Q63844|MK03_MOUSE",3,3,2,3,4,3,0.47949978410381,0.758134240644174,23.568358817338,23.5402529901901,23.5697938909105,23.2187196274414,23.9840181180694,22.7512053004073
"sp|P63087|PP1G_MOUSE",2,2,2,2,2,2,0.16300986898339,0.49279888918981,22.1017565782961,22.3040173997234,22.0188387180324,NA,21.474027132255,22.0089238482584
"sp|P63101|1433Z_MOUSE",14,13,13,13,13,13,0.84883511060447,0.94164993837088,30.4325884602743,30.1547490153612,30.0772634251397,30.0896145282134,29.471270461724,30.8849519467431
"sp|P63158|HMGB1_MOUSE",8,8,8,8,8,8,0.0400248500476652,0.300427488911993,29.5398805264802,29.8161993264653,29.9574622671373,29.1297241550618,29.2552256345917,29.4504084141059
"sp|P63166|SUMO1_MOUSE",1,1,1,1,1,2,0.992322236490051,0.997123795698874,22.5018331530884,22.1433575806612,23.4122735034748,22.641951589983,22.4557899992576,22.9703876808637
"sp|P63242|IF5A1_MOUSE;sp|Q8BGY2|IF5A2_MOUSE",8,6,8,6,8,8,0.232457473104487,0.574686530730539,27.6935772658196,26.7999133727494,28.1737854525868,28.142643292118,27.7929375926131,28.1804463924228
"sp|P63254|CRIP1_MOUSE",2,2,2,2,2,1,0.00311519151508792,0.130993333719095,23.8408329190581,23.2938173036882,23.6036875401592,22.4377921215613,22.7949902706531,22.5823332160365
"sp|P63276|RS17_MOUSE",5,5,5,5,4,6,0.13241095659019,0.466056643817448,26.7012215186707,26.3246387604576,26.9531653661494,26.8098622188389,27.0947173374507,27.2873865845188
"sp|P63280|UBC9_MOUSE",3,2,2,3,3,3,0.621854478108861,0.831203600271851,24.7716243762887,24.6689533335126,24.2004186336207,24.6080952340113,24.4926143930913,24.1892424261907
"sp|P63323|RS12_MOUSE",6,6,6,5,5,6,0.854252527252868,0.942142274600957,26.7947274605316,26.6914955028034,26.4810939236382,26.4910888174601,26.8159946924563,26.7650706772116
"sp|P63325|RS10_MOUSE",5,5,5,3,4,5,0.324062506796519,0.64605101354954,26.637517306699,27.3350169099417,27.6817229600432,26.5951330964127,27.2116575322212,26.8244830870769
"sp|P63328|PP2BA_MOUSE;sp|P48453|PP2BB_MOUSE",2,2,2,2,2,2,0.509692966178504,0.772315594891667,23.2734050776295,23.3925866148208,23.31633718393,23.4472960204262,23.579534469558,23.2967376942699
"sp|P63330|PP2AA_MOUSE;sp|P62715|PP2AB_MOUSE",7,7,7,5,6,7,0.297305457945297,0.633084164192363,25.5714500781984,25.5942313272378,25.8946480511145,25.5923876596229,25.1912823004784,25.5967287760999
"sp|P67778|PHB1_MOUSE",14,13,11,13,13,13,0.927461070039764,0.975013719450834,27.0130181930824,26.6682319086816,27.1243724246894,26.7546201085524,27.0418355482614,27.0658493309481
"sp|P67984|RL22_MOUSE",3,3,3,3,3,3,0.477205103336232,0.757449119435599,27.1697594056673,26.9700213229929,26.6461977694571,26.7754976215357,26.6496741954158,26.9087450180053
"sp|P68134|ACTS_MOUSE;sp|P68033|ACTC_MOUSE;sp|P63268|ACTH_MOUSE;sp|P62737|ACTA_MOUSE",2,2,2,2,1,3,0.0207205461389608,0.216956306631472,30.1584731949729,29.8017646585097,29.3033122994725,28.3248767852903,28.6792473107992,29.2545475486543
"sp|P68037|UB2L3_MOUSE",5,5,3,5,4,6,0.789433564435821,0.92172091682455,27.4708674372895,26.8744078627227,27.3462695000842,27.0650421769344,27.1452837592817,27.6983741026693
"sp|P68040|RACK1_MOUSE",12,12,11,12,12,12,0.517933425096523,0.777524153819599,28.8649138830786,28.8165481756921,28.664171914987,28.846641912697,28.649723255829,28.4902684347597
"sp|P68254|1433T_MOUSE",7,7,7,7,6,7,0.781835335413102,0.92172091682455,27.5981841481884,27.1271480029107,27.0608902831916,27.314143285034,26.7901272969869,27.4595764930706
"sp|P68368|TBA4A_MOUSE",15,15,14,14,15,17,0.461002476800996,0.748903632456376,25.7021115042863,26.3836050459866,26.0822268938675,26.0869322459827,26.3354770268273,26.270000568788
"sp|P68369|TBA1A_MOUSE;sp|P68373|TBA1C_MOUSE;sp|P05214|TBA3_MOUSE;sp|Q9JJZ2|TBA8_MOUSE",1,1,1,1,1,1,0.0925905163190066,0.421050304136796,23.937265646323,23.6554962254432,24.2076671166763,24.1830875326481,24.3801609538427,24.4491951408294
"sp|P68372|TBB4B_MOUSE;sp|Q9D6F9|TBB4A_MOUSE;sp|Q922F4|TBB6_MOUSE",23,20,21,23,21,23,0.023784911532235,0.233354328891061,26.9464997469156,26.9916024926602,27.369299187728,27.5246807136681,27.690689542202,27.796909356328
"sp|P68433|H31_MOUSE",1,1,1,1,1,1,0.885831268184382,0.960125910643568,26.3335416701713,25.0333196812369,28.3225065071281,26.6625904629835,24.7362929363236,27.8176164103115
"sp|P68510|1433F_MOUSE",7,6,7,6,6,6,0.711732477703206,0.884166168712059,26.6846473936189,26.3767610168281,26.1079021387736,26.4188651792528,26.0882157715088,26.4118017391973
"sp|P70168|IMB1_MOUSE",9,8,8,9,8,10,0.0779419175612487,0.382577939503337,26.1130827883666,25.8832051504682,26.0707929907352,26.5142315925548,26.2677143550464,27.6717933016507
"sp|P70224|GIMA1_MOUSE",2,2,2,2,2,2,0.652340551408057,0.843170463749418,21.5553739569267,21.5358077805226,21.9296306343746,21.4088989024997,21.7103353611863,21.6286737811241
"sp|P70245|EBP_MOUSE",2,1,0,1,1,2,NA,NA,NA,NA,NA,21.7051049550346,20.1017946419287,23.0146366024331
"sp|P70248|MYO1F_MOUSE;sp|E9Q634|MYO1E_MOUSE",1,1,2,2,2,2,0.0933379431820524,0.421709150338611,22.8371140983342,22.531575506897,22.7106352245881,23.3469817257653,22.7080153097659,23.7790184815484
"sp|P70269|CATE_MOUSE",2,2,2,1,2,2,0.0241612316968386,0.235194489798914,23.3953983566334,23.1918073107363,23.1127631487122,22.7952432747565,22.5993895482239,22.8037642386028
"sp|P70296|PEBP1_MOUSE",6,6,5,6,5,6,0.0814953207489545,0.390550652512297,27.7780771032135,27.8162284004563,27.3431519965727,27.1030070709456,27.0189250972858,27.4597494608048
"sp|P70302|STIM1_MOUSE",2,2,1,2,1,1,0.360142254138711,0.678876321719871,22.4095644682706,22.6468591810511,21.2769578274352,22.2595844096952,21.2138837294156,21.5542533804246
"sp|P70315|WASP_MOUSE",3,3,3,3,1,3,0.416515896041737,0.720803897872229,23.866126663373,24.2536410482626,24.2438594875329,23.8893238529176,23.6633346915716,24.2327528780716
"sp|P70333|HNRH2_MOUSE",1,1,1,1,0,0,0.00958225738631953,0.181064408589858,21.6626411910074,22.0261142550171,22.1388601080736,20.5327356883702,NA,NA
"sp|P70372|ELAV1_MOUSE",7,8,8,8,7,8,0.733932592622549,0.896850684651648,25.84570793728,25.9490461004307,25.8963892450027,25.9043886965144,25.91877940514,26.0298924531717
"sp|P70404|IDHG1_MOUSE",3,2,1,2,3,3,0.830448739537401,0.935847601108423,23.7351974831214,23.0860500610041,22.4999883120733,22.5920464819535,23.686536788546,23.3166358369352
"sp|P70429|EVL_MOUSE",6,8,5,7,6,9,0.475777480222526,0.757449119435599,25.2981120456059,25.6219060415285,25.3795161455051,25.116600431402,25.2722846570274,25.4865495201485
"sp|P70441|NHRF1_MOUSE",5,5,6,5,4,5,0.204589018117259,0.537801511759714,24.9554210344306,25.0701826803034,25.5941254908903,25.0676802278088,24.0645350633919,25.0466784911075
"sp|P70460|VASP_MOUSE",6,6,6,6,6,6,0.44501738459245,0.735734858829914,25.6199499661042,25.7776778732295,25.8921292774886,25.2425851546098,25.6572099123184,25.8629544070822
"sp|Q60817|NACA_MOUSE;sp|P70670|NACAM_MOUSE",4,4,4,4,4,4,0.441482222409297,0.735611716745532,26.5172230729813,26.4851421581101,26.2476536193861,26.5361717546484,25.8615404163683,26.2972281829663
"sp|P70677|CASP3_MOUSE",2,2,2,2,2,1,0.987175482504934,0.996616620994376,22.1696991723368,21.8253842484533,22.1922014201051,22.1890820958131,22.3312154619759,21.6549842673819
"sp|P70697|DCUP_MOUSE",2,1,1,0,2,2,0.00205172470370507,0.127822449040826,21.7704188307419,21.7280234075774,21.5745384877573,NA,22.7611524410458,23.2788635517112
"sp|P80313|TCPH_MOUSE",7,8,9,9,9,9,0.0582988374977829,0.349248782031522,25.6629874498018,25.8110673205812,26.5315635029038,26.4996025098323,26.5183137794898,27.3276206522669
"sp|P80314|TCPB_MOUSE",11,11,10,11,11,12,0.053357515712812,0.342891762604958,26.40889193181,26.806719104148,26.6819248783442,27.0916550958299,26.9141470138634,27.6377487922905
"sp|P80315|TCPD_MOUSE",15,16,14,14,15,15,0.311697385053771,0.636067137542118,27.0573475709373,27.1040900947914,27.2966177825542,27.2217040777735,27.2849999574397,27.5259487890625
"sp|P80316|TCPE_MOUSE",8,7,9,11,11,10,0.0214279570470347,0.218846184267256,25.7390036297961,26.144536256174,26.4368996204132,26.849519069115,26.853111529545,26.6574877799479
"sp|P80317|TCPZ_MOUSE;sp|Q61390|TCPW_MOUSE",11,12,11,13,12,13,0.396753817239829,0.708658206395262,26.2876039483548,26.5238826907972,27.0605107037869,26.857294998725,26.5235919379657,27.2894640865117
"sp|P80318|TCPG_MOUSE",10,9,8,9,9,10,0.504014702629593,0.768439243406598,26.7219083691682,26.8559720510992,26.8473036192602,26.8878575816541,26.7985418140592,27.090782269107
"sp|P83870|PHF5A_MOUSE",4,4,4,3,4,4,0.832558112395389,0.935847601108423,23.8190034112493,23.4586851179212,23.425668376995,23.1941196652731,23.9067763643418,23.4416488191251
