"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q8BHD7",7,5,5,4,6,7,20.1478286576485,19.5051214342411,18.9763839190859,19.2792270865345,19.2218859792748,19.7566218733659,4.67621543672443e-20,0.99999999977816,1
"O55022",1,1,NA,NA,1,NA,18.5881698060379,18.2454930962507,17.9495714707973,17.9715334549588,17.7541168991422,18.23355243434,-1.01649326928711e-19,0.999999999582543,1
"P56135",NA,NA,NA,NA,1,NA,20.8490139066073,20.4894801548517,19.662736438725,20.70390423333,19.6397306517872,20.5488947372548,-4.81033069402055e-20,0.999999999781719,1
"O08709",11,9,8,8,7,10,21.4784288859648,20.83765630634,20.0253876893043,20.280437210654,19.6771260370965,20.8748094715646,-0.409608258847285,4.91934625030883e-05,0.00140398141983814
"O54962",1,NA,NA,NA,NA,NA,21.2784350777036,20.8694804009485,19.6621051736768,19.2631795721909,19.5783368411374,20.9833818524682,-0.28035277515356,0.214313192699679,0.572179756106312
"P97311",3,2,NA,10,6,14,18.3677323287527,17.8387225209283,17.4260370407517,18.6183214999951,18.4419877722961,19.0440736886386,0.896671309255753,4.99738233908154e-08,5.00605867029864e-06
"P26350",12,13,8,12,12,18,21.8505530609793,21.3012037145892,20.2127145786811,21.2425463362949,20.5364388688987,21.7450473838749,0.0166367670292562,0.729697771632141,1
"P01872",14,13,15,12,15,15,22.397823857817,21.5835611581633,20.9731400229433,21.4124426452733,21.2992264855915,21.9653114663456,-2.05080360020302e-10,0.999978732999316,1
"P13020",13,13,11,12,11,12,20.7960584697945,20.0864527310381,19.434291622099,19.6042240114418,19.4335372457064,20.2126365213176,-0.119009247442833,0.11680985659418,0.376270124965903
"O09106",4,3,3,3,2,6,18.9433210922144,18.5021528621573,17.6922132842608,18.078444987002,17.9740728312503,19.0215298883496,3.46149596082771e-20,0.999999999669003,1
"P56399",7,4,5,6,5,7,19.2271675708255,19.4400400023417,18.4363367661236,19.1847409485187,18.9838906036691,19.6014096117797,0.191227260725078,0.266768529926125,0.680999449382075
"Q9QYR9",1,1,NA,NA,NA,2,19.043657651102,19.5771091510085,18.6321384755704,18.1786200186817,17.6402782783449,19.8032244927983,-5.50397493875822e-20,0.999999999775063,1
"Q00612",5,6,4,4,3,5,20.392884333493,19.9630956155543,19.1871032834345,19.6272968361339,19.453467351581,20.2972173052316,2.01314071619392e-20,0.999999999760171,1
"P0DP26,P0DP27,P0DP28",5,5,4,4,5,4,22.4790780556022,21.8458909063945,20.927680627597,21.2830104530724,21.04449589801,21.9357701163519,-0.132459755456401,0.123580239646118,0.395401349719755
"P36371",5,4,2,4,3,6,19.7180450280991,18.9222027939298,18.4574995911166,18.9237688725307,18.5466220712555,19.9829937508041,0.224156501681658,0.0634626304532733,0.250510757700475
"P20152",27,25,21,21,19,24,21.5654517410635,21.0955000997976,20.3344458345017,20.4901738857952,20.285746277889,21.1710869420324,-0.234240312200556,1.44246852328699e-05,0.000527935114362151
"Q9QYJ3",NA,1,NA,NA,NA,NA,18.261322363668,18.3720215829118,15.9315584704235,17.9582966912674,17.8209602156575,18.1232798284358,3.13091729052839e-19,0.999999999303559,1
"P61965",NA,3,1,2,NA,2,18.6409927136551,19.0242202971176,17.8669151625372,18.3183027102893,18.4318295239018,19.2568078090136,0.0955746100012365,0.543832500865343,1
"P28076",4,3,NA,2,NA,3,19.3580065910881,19.208222308475,18.1654151198638,19.1462572410389,18.3221487351731,19.7048871776092,5.69897427009174e-07,0.998485213808774,1
"Q9D0K2",4,4,NA,4,2,4,19.1286915875463,18.4748388410455,17.9369266379057,18.6281042861715,18.2004593463272,19.7770605127882,0.20707815045786,0.138934658642528,0.428206820481397
"Q6PDM2",12,12,10,10,10,11,21.902824148805,21.3342211194775,20.2658873685668,20.8585535630422,20.5115426652964,21.2926621326627,-0.210393559187391,0.0317008156113997,0.16011288594364
"P39654",NA,NA,NA,10,9,15,18.1506881789209,17.0588937294363,17.305783064893,20.2756008971943,19.1640503063451,20.7386030164757,2.76698730035054,2.63303463185018e-09,6.26223403275036e-07
