"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q9CSN1",2,1,NA,NA,NA,3,18.5747581584505,17.8396986994672,16.8231110962239,17.487763033672,17.2528728641569,18.1815884594722,-1.7308114377726e-10,0.999976024756274,1
"Q9R190",6,6,5,5,6,7,19.6122946720061,19.5059811136444,18.4252164246565,19.4332667889825,19.0502739211496,19.9781491758563,0.363464918838871,0.000737461725547791,0.0115643723335901
"P08113",19,16,13,18,16,20,20.8998901199593,20.4607321251045,19.6186143067658,20.9010770495322,20.5963442639441,21.413628280011,0.639775331068223,1.81160125420825e-12,1.29257749487758e-09
"P01654,P01655,P01656,P01657,P01658,P01659,P01660,P01664,P01665,P01666,P01667,P01668,P01669,P01670,P01671,P01672,P01673,P03977",NA,NA,NA,1,NA,NA,17.4916125881533,19.0919924347884,17.5920489656636,19.1845467819922,17.7019895181662,18.0819233032793,2.89907191620659e-19,0.999999999556874,1
"O55143",2,NA,NA,2,NA,2,17.6439368839389,15.0652497191608,18.244170390207,18.3943621793445,18.2129068045133,19.0623108073436,0.759512277075486,0.164008463825848,0.479590323523534
"O70133",21,19,16,14,13,20,19.9669393035375,19.601127202818,18.9740318718863,19.439592513854,19.221708886968,20.0621591534802,3.13459676896967e-09,0.999827006665147,1
"Q9CU62",9,9,7,3,5,7,19.0620366633832,18.9534046490883,18.0318083543823,18.4144722905429,17.9655327836907,19.0125812800131,-0.0622866517227287,0.376008765610646,0.856990683039307
"P06151",17,14,13,13,14,14,22.7020873015972,22.1635722762733,21.1913750669564,21.6147766959698,21.1324449932252,22.3325027111174,-0.175559876314577,0.0203293155297341,0.12240478169169
"Q6A026",NA,NA,NA,NA,NA,1,18.4972264332546,18.5843882990803,18.8622279502324,18.2569377030887,18.330986573319,19.7786777450338,5.88556858696514e-20,0.99999999978558,1
"Q8BG07",6,2,1,1,1,3,19.0825770806222,18.5335100297276,17.8777933983798,17.7038607238403,17.6604558408965,18.7400379196006,-0.16741753542326,0.232672178720412,0.61485777598894
"Q8BFR5",8,10,6,8,7,8,19.8481881551756,19.593642369271,18.9592402807107,19.4623727215194,19.1167335798474,19.9966086802574,0.101549275784865,0.127477153551074,0.403939673796049
"P14152",12,14,12,11,9,12,23.6861688657623,23.2277495119338,22.1453445313167,22.6490850955293,21.9101986217831,22.968140525516,-0.441310644672332,0.00152797643453501,0.0200038749732244
"Q9DCE9",1,NA,NA,4,2,2,19.0581094294487,18.0466182151238,17.7266070640763,18.7419979362431,18.7607059066823,20.6149788229333,0.800962726040107,0.00104747068984225,0.0150983906505545
"Q04447",6,4,2,3,2,4,20.6268394345299,19.7682882424757,19.2609340738966,18.9607436724188,19.0056168589781,19.9069510768049,-0.41467377592513,0.00567233914975621,0.0543250199107524
"Q7TMK9",11,8,7,7,7,11,21.4549379914591,20.6811892320037,19.9792372299254,20.9660324777765,20.1654259586166,21.2590734877202,0.108684396362952,0.406648201793165,0.895504604874764
"P17751",11,8,8,9,9,11,21.96623081064,21.3180229676333,20.2410061369323,20.8075721723576,20.4651422927672,21.4410055990797,-0.0570200491934287,0.504233076524967,1
"Q9JHJ0",6,5,3,5,4,7,19.9817326854613,19.6377018405097,18.7833259406225,19.4094096096591,19.0467459374023,19.731383165538,1.15970077458526e-20,0.999999999878296,1
"P08003",11,10,6,14,13,17,19.4683804173922,18.9944840477893,18.2043757705635,19.0502133362177,18.7933855531555,19.6915986334064,0.331089575871013,9.3240590672817e-07,5.11747395731192e-05
"Q61598",17,12,11,12,12,15,21.5732928001252,21.031439175265,20.4927261204606,20.7437046544483,20.360786029481,21.6014254513751,-7.64701947116974e-20,0.999999999533311,1
"P63028",4,3,2,4,3,4,21.088566532359,19.8002055407593,18.7811918727945,20.4306866656593,19.5604451507147,20.788459471686,9.62212273607618e-20,0.999999999559658,1
"P04441",3,4,2,4,4,5,20.3080360005962,20.0542505188878,19.0082594093839,20.2497500888719,19.7612622409419,20.7553862974077,0.522348935919829,0.000387854150200782,0.00691834840420645
"Q99020",8,7,5,8,6,12,21.0057503170597,20.2595698752329,19.3990542115696,20.261294502832,19.8253910000677,21.154904411488,0.127319974125468,0.189213555471773,0.531511306413819
"Q6ZWU9",2,2,NA,NA,NA,NA,19.0884019550347,18.6083916540602,17.4374609072084,18.3974137192784,17.5337168056402,18.8665269091964,-2.77957880266469e-20,0.999999999864445,1
"Q9CQW2",NA,NA,NA,1,2,NA,19.6376360524361,19.3113184824518,18.6748139078261,18.783803817192,19.0459661963997,19.4887618633608,-5.36497933960088e-20,0.999999999774875,1
"O35381",7,6,5,6,4,6,21.3964877800485,20.76091788695,19.6233700274674,19.8822305770886,19.3212900299858,20.5251882055107,-0.594321802862147,0.000318190231730704,0.00621996521479062
"Q9Z2X1",13,12,7,8,4,8,20.4788439566889,20.0176997900805,19.0200829255509,19.0628502966833,18.7249112084156,19.9240837460048,-0.346080774628328,0.00749521260680352,0.0636646927970751
"Q8VCM7",6,6,4,4,3,8,18.5797699355732,18.6304195706734,18.2933262916781,18.4428368419714,17.9610631424848,19.7140904808197,1.71256167118053e-19,0.999999999306098,1
"P35441",3,3,3,4,5,9,19.3349788610664,18.7000740320993,18.2524297396321,19.0245213005019,18.4649965471547,19.3473667114488,0.205640449645109,0.0558429701747159,0.229648179940402
"Q9DBH5",NA,2,2,3,3,6,18.2742760068097,17.9382028369976,16.9941363562247,18.146611629395,18.0589806797855,19.182527009698,0.621637425178642,0.00218277019599902,0.0259567755807551
"P01831",3,3,4,3,3,4,21.5497108819386,20.8606722693538,20.1622246223799,20.3016491108515,19.8297706711932,20.8993100439529,-0.457789832889757,2.87536229671117e-05,0.000891987390740616
"Q9D020",4,2,NA,2,NA,NA,19.3697368032151,18.5819686983281,17.7544542122565,18.4655553745249,18.6032601852653,19.2959302496752,0.156813328655446,0.299160450954646,0.737309090694784
"P63276",7,8,3,5,5,6,20.5196207271469,19.7301847686583,18.9365002789253,19.6558441229948,19.2268633067259,20.6306753251965,2.11317262787581e-09,0.999919498133183,1
"P18242",7,6,3,4,4,5,21.0637394123109,20.3258349282716,19.2642278844577,19.9638571114159,19.2164285710226,20.4836110565131,-0.205152112531758,0.145987663281803,0.444188476552522
"P97821",6,5,4,6,3,5,21.2303737424885,20.2185731189086,19.8539910233752,20.3786830687484,19.7392357271813,20.7565196194284,-1.42240824651596e-19,0.999999999387826,1
"Q62376",9,6,5,6,6,8,19.5319036592359,19.1093527390249,18.4310884729262,19.0892862951735,18.4912738189168,19.5180875270116,3.87790908888905e-20,0.999999999561433,1
"P06800",27,24,20,22,22,28,20.984251422892,20.1304438130326,19.6198304209205,20.2286056286081,19.7174434498039,20.6252548070822,-2.42470502577474e-12,0.999997233854953,1
"Q9WUU7",2,2,2,NA,2,NA,20.4936473128924,19.7787599690015,19.0076212314046,19.4341446069249,18.8930069607745,19.6046315549855,-0.235324474100456,0.0607019525393378,0.246313014040888
"Q9QUI0",2,3,2,2,2,4,20.8444704059274,20.749411053781,20.1032348542947,20.2097620936944,19.7435853432162,21.165655737198,-1.11594946724146e-19,0.999999999543273,1
"Q60605",6,6,6,6,6,6,22.9994530110545,22.4082653127165,21.4289326652042,22.0194593004167,21.5070683286556,22.5942084689139,-0.233222789591648,0.0428265295465135,0.197140186009274
"Q9CXI5",1,NA,NA,NA,NA,3,18.2113079153834,18.5277410776418,17.2106541991776,18.7675072590425,18.1109000743679,19.1256651288987,0.764546415821693,0.00604878343846035,0.056786933991335
"P28798",1,NA,NA,NA,NA,NA,19.2308543102447,18.5963301556996,18.1321923395874,16.6565371864834,17.4072955450299,18.3277691284088,-0.77975490731216,0.00659078094592047,0.0598053919858524
"Q9ESX5",7,8,7,6,3,9,20.6452815288981,20.0858190389232,19.3874333333238,19.5862790697038,19.4232433044411,20.2038279765254,-0.165104747273881,0.0623712078480761,0.248613725137443
"Q9D6J6",4,4,4,3,4,4,20.0197797491491,19.4248155052698,18.7493272479343,19.0668473615715,18.6102306103029,19.6205272173815,-0.185952923893306,0.0197719254174457,0.12139616056397
"Q9CR61",NA,NA,NA,1,NA,2,19.1642962754522,18.8654205581687,17.6516985856793,18.0484310415014,18.2000251122269,18.9958034100636,-3.30791331393473e-20,0.999999999806763,1
"O08583",4,4,NA,NA,NA,2,19.0321942966632,18.7435924028375,17.2686334193099,17.9735811586208,17.5422037464346,18.8135018021975,-9.46566410480774e-20,0.999999999454603,1
"P62301",7,6,5,5,5,6,20.8250688889682,20.4262798314252,19.2569855110686,20.0364310721824,19.3555758926288,20.8410131954889,-7.31787503735264e-10,0.999962658328581,1
"P16045",4,5,4,5,4,5,21.7104273622686,20.7539101215693,20.0900536481674,20.724932320168,20.6293626255623,21.4855387056186,0.0819528600512775,0.412597348134819,0.907205571322629
"D3Z7P3",3,2,NA,1,3,3,18.7928966309684,18.5656043728583,17.815881910595,18.4133058691972,18.0413823434119,19.0144680246343,0.0294629385873143,0.628669865303826,1
"Q3UKJ7",3,2,NA,4,1,4,19.5033609019177,19.256872306017,18.6141369226417,18.7664425256256,19.0630048952184,19.6224554145828,1.04345212555001e-19,0.999999999564074,1
"P47941",3,2,1,NA,NA,4,19.2960615157435,19.1865390339367,18.2147329618414,18.7349351007311,17.9346479663917,18.6794520121013,-0.221569307947472,0.141559158492605,0.433486951006326
"P01837",5,4,2,1,4,5,20.9337658999247,19.955401998892,19.1894266936752,20.3147731068651,19.9921905273195,20.9434696139802,0.445171088984162,0.00355973459067288,0.0368097192818131
"O88685",5,4,3,2,3,3,19.9942119676877,19.6098589564939,18.9204106262821,19.4187983403162,19.3572147914301,20.3088062713963,0.198393197525094,0.0868326103984517,0.304447506237323
"Q9JM76",3,3,3,3,3,4,22.0370983995274,21.2382498327274,20.3558600609913,20.7696654089873,20.5754666976342,22.0020367983202,1.45520093112831e-20,0.999999999936622,1
"P49710",13,11,10,8,7,10,20.3950179619036,19.9791810331817,18.9304942169267,19.3247587433904,19.055925310824,19.7258198396633,-0.278189692354282,0.0079046681185783,0.0663527141483014
"Q9WU78",8,5,4,7,8,10,20.0529796948423,19.905699612297,19.0353951947764,19.8542647984335,19.2425314628775,20.4962914613254,0.235385361217846,0.0179006339723476,0.114036628029196
"Q6PGH1",NA,1,NA,NA,1,2,19.9229589937844,19.2199474238281,18.9694960737495,18.6514876808872,19.069324251032,19.8581153132555,-8.68521557490406e-20,0.999999999705404,1
"Q61425",3,2,2,1,1,NA,19.6364681543015,19.0471634360285,18.2177864802051,18.4524886662714,18.5644242948627,18.2562436349475,-0.220767404146393,0.270395554646463,0.687797605134586
"Q3TXS7",5,4,3,3,5,2,19.7910761932358,19.4007917197945,18.5133237241095,19.3969690077244,18.9796631593421,19.7079757284382,0.262698375582903,0.0201959356448021,0.122327984365573
"P10711",3,4,2,4,3,6,20.1044965701706,19.6029955120979,18.9657939253645,19.105777279755,18.9424483714422,19.8583478635144,-0.102801694457734,0.190524720664149,0.533095639975962
"O88712",NA,1,2,1,NA,2,19.6635451708947,19.4808826257427,18.6337653536728,18.939527846313,18.9233750564649,19.7904955461096,1.56491601201213e-20,0.999999999923436,1
"P61358",6,4,6,6,6,5,21.0413007306101,20.6288823781449,19.7502066131254,20.2555161973236,19.9271293487649,20.9123473299292,-3.53637954704554e-20,0.999999999591286,1
"Q8C3J5",12,13,10,12,9,17,19.7577518450695,19.5061379420424,18.7313054473275,18.955432503436,18.7481615251483,19.4615372583355,-0.156964701214767,0.0733999935941965,0.273477260728246
"Q9D1A2",11,7,5,5,6,5,20.0855432676948,19.5277522450234,18.416022871468,18.8773084377899,18.6372051556453,19.4327124476048,-0.227015873971219,0.0828907982107157,0.293560495646491
"P97352",4,4,2,1,2,2,19.1319713294817,18.8259049825088,17.8214849073141,18.0665310858138,17.4723785196433,18.8989832116735,-0.211482873006607,0.148558703856955,0.447243186506066
"Q91VC3",9,10,5,9,8,7,20.1128940852948,19.8696664874844,18.9640220983375,19.5045025837315,19.4285354283575,20.2070720149749,0.116704102421408,0.210429891279792,0.567913638664859
"Q61550",2,2,1,1,1,3,19.2988816128489,19.1599370058075,18.1515322395351,18.6132024323017,18.096873113656,19.3628346742156,-6.33442121453957e-20,0.999999999520775,1
"P63323",6,6,5,4,4,6,21.479953353781,21.0153024072784,19.93745365917,20.7963107275052,20.4262149508664,21.4173447001745,0.187696092870498,0.0102504897583059,0.0790672912708241
"P24369",8,9,6,5,5,6,20.5760349219943,20.4766433246999,19.6978652524777,20.2346038283995,19.820362045904,20.8537724377036,3.47403582255933e-20,0.999999999695094,1
